score,comment,team_name,members,method
0.9140,N/A,lucky-learner,baihuajun24,default
0.0336,N/A,tree-post-order,LuXiaohang|leonmz,default
0.0336,N/A,hidden-markov,YubinXie|dszheng92|stevexniu,default
0.0336,N/A,fundamental_groupoid,kaa1el|yeyixin1993,default
0.0336,N/A,technologics,charlie9660,default
0.0336,N/A,ntmbd,yl4bg,default
0.0336,N/A,team-kuddle-1,hxing9974,default
0.0336,N/A,cant-without-bubbles,bettychou1993,default
0.0336,N/A,nlpeer-3-0,harrisonzzh,default
0.0336,N/A,serious-learner-1,dqlsll123|leohunt|xuwanggr,default
0.0336,N/A,et_js_jl_3,emtseng|j3sue,default
0.0336,N/A,winnerwinner-chickendinner,Spark-Xl|yz1339,default
0.0336,N/A,zl558_cd446_yz2354,ZexiLiu,default